,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,company,country
327,36.4,5,121.0,67.0,2950,19.9,80,2,audi 5000s (diesel),audi,Europe
328,30.0,4,146.0,67.0,3250,21.8,80,2,mercedes-benz 240d,mercedes-benz,Europe
329,44.6,4,91.0,67.0,1850,13.8,80,3,honda civic 1500 gl,honda,Japan
330,40.9,4,85.0,74.04347826086956,1835,17.3,80,2,renault lecar deluxe,renault,Europe
331,33.8,4,97.0,67.0,2145,18.0,80,3,subaru dl,subaru,Japan
332,29.8,4,89.0,62.0,1845,15.3,80,2,vokswagen rabbit,volkswagen,Europe
333,32.7,6,168.0,132.0,2910,11.4,80,3,datsun 280-zx,datsun,Japan
334,23.7,3,70.0,100.0,2420,12.5,80,3,mazda rx-7 gs,mazda,Japan
335,35.0,4,122.0,88.0,2500,15.1,80,2,triumph tr7 coupe,triumph,Europe
336,23.6,4,140.0,74.04347826086956,2905,14.3,80,1,ford mustang cobra,ford,America
337,32.4,4,107.0,72.0,2290,17.0,80,3,honda accord,honda,Japan
338,27.2,4,135.0,84.0,2490,15.7,81,1,plymouth reliant,plymouth,America
339,26.6,4,151.0,84.0,2635,16.4,81,1,buick skylark,buick,America
340,25.8,4,156.0,92.0,2620,14.4,81,1,dodge aries wagon (sw),dodge,America
341,23.5,6,173.0,110.0,2725,12.6,81,1,chevrolet citation,chevrolet,America
342,30.0,4,135.0,84.0,2385,12.9,81,1,plymouth reliant,plymouth,America
343,39.1,4,79.0,58.0,1755,16.9,81,3,toyota starlet,toyota,Japan
344,39.0,4,86.0,64.0,1875,16.4,81,1,plymouth champ,plymouth,America
345,35.1,4,81.0,60.0,1760,16.1,81,3,honda civic 1300,honda,Japan
346,32.3,4,97.0,67.0,2065,17.8,81,3,subaru,subaru,Japan
347,37.0,4,85.0,65.0,1975,19.4,81,3,datsun 210 mpg,datsun,Japan
348,37.7,4,89.0,62.0,2050,17.3,81,3,toyota tercel,toyota,Japan
349,34.1,4,91.0,68.0,1985,16.0,81,3,mazda glc 4,mazda,Japan
350,34.7,4,105.0,63.0,2215,14.9,81,1,plymouth horizon 4,plymouth,America
351,34.4,4,98.0,65.0,2045,16.2,81,1,ford escort 4w,ford,America
352,29.9,4,98.0,65.0,2380,20.7,81,1,ford escort 2h,ford,America
353,33.0,4,105.0,74.0,2190,14.2,81,2,volkswagen jetta,volkswagen,Europe
354,34.5,4,100.0,72.95,2320,15.8,81,2,renault 18i,renault,Europe
355,33.7,4,107.0,75.0,2210,14.4,81,3,honda prelude,honda,Japan
356,32.4,4,108.0,75.0,2350,16.8,81,3,toyota corolla,toyota,Japan
357,32.9,4,119.0,100.0,2615,14.8,81,3,datsun 200sx,datsun,Japan
358,31.6,4,120.0,74.0,2635,18.3,81,3,mazda 626,mazda,Japan
359,28.1,4,141.0,80.0,3230,20.4,81,2,peugeot 505s turbo diesel,peugeot,Europe
360,30.7,6,145.0,76.0,3160,19.6,81,2,volvo diesel,volvo,Europe
361,25.4,6,168.0,116.0,2900,12.6,81,3,toyota cressida,toyota,Japan
362,24.2,6,146.0,120.0,2930,13.8,81,3,datsun 810 maxima,datsun,Japan
363,22.4,6,231.0,110.0,3415,15.8,81,1,buick century,buick,America
364,26.6,8,350.0,105.0,3725,19.0,81,1,oldsmobile cutlass ls,oldsmobile,America
365,20.2,6,200.0,88.0,3060,17.1,81,1,ford granada gl,ford,America
366,17.6,6,225.0,85.0,3465,16.6,81,1,chrysler lebaron salon,chrysler,America
367,28.0,4,112.0,88.0,2605,19.6,82,1,chevrolet cavalier,chevrolet,America
368,27.0,4,112.0,88.0,2640,18.6,82,1,chevrolet cavalier wagon,chevrolet,America
369,34.0,4,112.0,88.0,2395,18.0,82,1,chevrolet cavalier 2-door,chevrolet,America
370,31.0,4,112.0,85.0,2575,16.2,82,1,pontiac j2000 se hatchback,pontiac,America
371,29.0,4,135.0,84.0,2525,16.0,82,1,dodge aries se,dodge,America
372,27.0,4,151.0,90.0,2735,18.0,82,1,pontiac phoenix,pontiac,America
373,24.0,4,140.0,92.0,2865,16.4,82,1,ford fairmont futura,ford,America
374,23.0,4,151.0,79.14814814814815,3035,20.5,82,1,amc concord dl,amc,America
375,36.0,4,105.0,74.0,1980,15.3,82,2,volkswagen rabbit l,volkswagen,Europe
376,37.0,4,91.0,68.0,2025,18.2,82,3,mazda glc custom l,mazda,Japan
377,31.0,4,91.0,68.0,1970,17.6,82,3,mazda glc custom,mazda,Japan
378,38.0,4,105.0,63.0,2125,14.7,82,1,plymouth horizon miser,plymouth,America
379,36.0,4,98.0,70.0,2125,17.3,82,1,mercury lynx l,mercury,America
380,36.0,4,120.0,88.0,2160,14.5,82,3,nissan stanza xe,nissan,Japan
381,36.0,4,107.0,75.0,2205,14.5,82,3,honda accord,honda,Japan
382,34.0,4,108.0,70.0,2245,16.9,82,3,toyota corolla,toyota,Japan
383,38.0,4,91.0,67.0,1965,15.0,82,3,honda civic,honda,Japan
384,32.0,4,91.0,67.0,1965,15.7,82,3,honda civic (auto),honda,Japan
385,38.0,4,91.0,67.0,1995,16.2,82,3,datsun 310 gx,datsun,Japan
386,25.0,6,181.0,110.0,2945,16.4,82,1,buick century limited,buick,America
387,38.0,6,262.0,85.0,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),oldsmobile,America
388,26.0,4,156.0,92.0,2585,14.5,82,1,chrysler lebaron medallion,chrysler,America
389,22.0,6,232.0,112.0,2835,14.7,82,1,ford granada l,ford,America
390,32.0,4,144.0,96.0,2665,13.9,82,3,toyota celica gt,toyota,Japan
391,36.0,4,135.0,84.0,2370,13.0,82,1,dodge charger 2.2,dodge,America
392,27.0,4,151.0,90.0,2950,17.3,82,1,chevrolet camaro,chevrolet,America
393,27.0,4,140.0,86.0,2790,15.6,82,1,ford mustang gl,ford,America
394,44.0,4,97.0,52.0,2130,22.2,82,2,vw pickup,volkswagen,Europe
395,32.0,4,135.0,84.0,2295,11.6,82,1,dodge rampage,dodge,America
396,28.0,4,120.0,79.0,2625,18.6,82,1,ford ranger,ford,America
397,31.0,4,119.0,82.0,2720,19.4,82,1,chevy s-10,chevy,America
